host_is_superhost,neighbourhood_cleansed,latitude,longitude,accommodates,bedrooms,price,minimum_nights,maximum_nights,review_scores_rating,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_Hotel_B_and_B,property_type_House,property_type_Other_Unique,has_license,has_review,occupancy_rate
1,West Cambridge,42.38258,-71.13646,5,2.0,270.0,2,1125,4.84,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,46,0,0,0,1,1,0.2575342465753424
1,North Cambridge,42.3963,-71.13135,3,1.0,126.0,3,14,4.8,0,3,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,1,27,0,0,0,0,1,0.852054794520548
1,The Port,42.36258,-71.09603,1,1.0,183.0,10,730,4.55,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,46,1,0,0,0,1,0.8054794520547945
1,The Port,42.36254,-71.09698,2,1.0,238.0,5,730,4.77,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,50,1,0,0,0,1,0.9342465753424658
1,The Port,42.3695,-71.09921,4,2.0,300.0,3,365,4.88,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,30,0,0,0,1,1,0.8246575342465754
1,The Port,42.36274,-71.09768,3,1.0,242.0,5,365,4.83,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,48,1,0,0,1,1,0.9561643835616438
1,West Cambridge,42.38227,-71.13643,3,1.0,225.0,2,730,4.73,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,66,0,0,0,1,1,0.0465753424657534
0,East Cambridge,42.37103,-71.07557,2,1.0,188.0,91,365,4.64,1,1,1.0,1.0,False,True,0,0,1,0,0,1,0,1,0,0,15,0,0,0,0,1,1.0
1,North Cambridge,42.39346,-71.13137,4,1.0,225.0,2,60,4.93,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,45,0,0,0,1,1,0.6575342465753424
0,The Port,42.36545,-71.10268,3,1.0,141.0,30,250,4.57,0,2,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,30,0,0,0,0,1,0.3260273972602739
0,Agassiz,42.38373,-71.11424,2,1.0,56.0,3,30,4.93,0,1,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,26,1,0,0,0,1,0.2
0,Mid-Cambridge,42.37122,-71.10797,2,1.0,150.0,30,1124,4.75,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,47,0,0,0,0,1,0.736986301369863
0,Mid-Cambridge,42.37285,-71.11263,2,1.0,123.0,91,365,4.93,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,27,0,0,0,0,1,0.3260273972602739
1,North Cambridge,42.39426,-71.13258,7,4.0,405.0,10,30,4.86,0,3,2.0,0.0,False,False,1,1,1,0,0,0,0,1,0,0,14,0,0,0,1,0,0.8767123287671232
1,Cambridgeport,42.35734,-71.10973,2,1.0,151.0,21,1125,4.75,0,5,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,63,0,0,0,0,1,0.989041095890411
1,Cambridgeport,42.35966,-71.10854,2,1.0,100.0,21,730,4.73,0,5,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,65,0,0,0,0,1,0.8684931506849315
1,Wellington-Harrington,42.37324,-71.09635,4,2.0,204.0,2,180,4.81,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,55,0,0,0,1,1,0.8328767123287671
1,North Cambridge,42.39892,-71.13527,2,1.0,61.0,1,1125,4.71,0,1,1.0,1.0,False,True,1,1,1,1,1,1,1,1,1,1,34,0,0,0,1,1,0.9397260273972604
1,The Port,42.36665,-71.09823,3,1.0,179.0,3,14,4.84,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,56,0,0,0,1,1,0.6794520547945205
0,The Port,42.36802,-71.10027,2,1.0,175.0,3,60,4.92,0,1,1.0,0.0,False,False,1,0,1,1,0,0,0,1,0,1,15,0,0,0,1,1,0.0767123287671232
1,Mid-Cambridge,42.37303,-71.10539,4,2.0,250.0,3,30,4.96,0,1,1.5,0.0,False,True,1,1,1,1,1,1,1,1,1,1,60,0,1,0,0,1,0.2383561643835616
0,Mid-Cambridge,42.37301,-71.1041,2,1.0,130.0,31,125,4.78,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,26,0,0,0,0,1,0.8191780821917808
1,Strawberry Hill,42.37595,-71.15452,2,1.0,92.0,31,365,4.8,0,1,1.0,1.0,False,True,1,1,1,1,1,1,0,1,1,1,24,0,0,0,1,1,0.7698630136986301
1,The Port,42.36571,-71.1023,2,1.0,142.0,3,1125,4.93,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,33,0,0,0,1,1,0.4465753424657534
1,Cambridgeport,42.36055765500599,-71.1123166016873,2,1.0,139.0,2,29,4.81,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,48,0,0,1,1,1,0.8328767123287671
1,West Cambridge,42.38248,-71.13545,10,4.0,298.0,2,1125,4.74,1,2,1.5,0.0,False,False,1,1,1,1,1,1,1,1,1,1,69,0,1,0,1,1,0.4356164383561643
1,Strawberry Hill,42.37837,-71.15249,2,1.0,119.0,30,1125,4.95,0,2,1.0,1.0,False,True,1,1,1,1,0,0,0,1,1,1,20,0,1,0,0,1,0.873972602739726
0,Mid-Cambridge,42.37247,-71.11381,2,1.0,143.0,5,15,4.82,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,32,0,0,0,1,1,0.2219178082191781
0,Wellington-Harrington,42.37312,-71.0901,1,1.0,313.0,1,31,4.9,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,46,0,0,0,1,1,0.0465753424657534
