id,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,bath_qty,is_shared_bath,room_type_Hotel room,room_type_Private room,has_smoke_alarm,has_carbon_monoxide_alarm,has_wifi,has_hot_water,has_hangers,has_essentials,has_bed_linens,has_kitchen,has_hair_dryer,has_refrigerator,amenities_count,property_type_clean,has_license,has_review
8521,1,2,3,West Cambridge,42.38258,-71.13646,Entire rental unit,5,2.0,2.0,270.0,2,1125,4.84,4.95,4.97,4.9,4.92,4.94,4.74,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,0,1,46,Apartment,1,1
11169,1,4,4,North Cambridge,42.3963,-71.13135,Private room in condo,3,1.0,0.0,126.0,3,14,4.8,4.75,4.78,4.91,4.92,4.8,4.77,0,3,1.0,0.0,False,True,1,1,1,1,1,1,1,0,1,1,27,Apartment,0,1
19581,1,3,3,The Port,42.36258,-71.09603,Private room in bed and breakfast,1,1.0,1.0,183.0,10,730,4.55,4.64,4.64,4.64,4.91,4.91,4.27,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,46,Hotel_B_and_B,0,1
27498,1,3,3,The Port,42.36254,-71.09698,Private room in bed and breakfast,2,1.0,1.0,238.0,5,730,4.77,4.68,4.76,4.64,4.76,4.88,4.64,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,50,Hotel_B_and_B,0,1
79762,1,1,2,The Port,42.3695,-71.09921,Entire rental unit,4,2.0,2.0,300.0,3,365,4.88,4.88,4.87,4.96,4.93,4.93,4.77,0,1,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,30,Apartment,1,1
106474,1,3,3,The Port,42.36274,-71.09768,Private room in bed and breakfast,3,1.0,1.0,242.0,5,365,4.83,5.0,4.87,4.91,5.0,4.87,4.57,1,3,1.0,0.0,False,True,1,1,1,1,1,1,1,1,1,1,48,Hotel_B_and_B,1,1
108898,1,2,3,West Cambridge,42.38227,-71.13643,Entire condo,3,1.0,1.0,225.0,2,730,4.73,4.77,4.94,4.77,4.88,4.96,4.79,0,2,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,66,Apartment,1,1
675441,0,2,5,East Cambridge,42.37103,-71.07557,Private room in rental unit,2,1.0,1.0,188.0,91,365,4.64,4.83,4.42,4.75,5.0,4.75,4.5,1,1,1.0,1.0,False,True,0,0,1,0,0,1,0,1,0,0,15,Apartment,0,1
715532,1,1,3,North Cambridge,42.39346,-71.13137,Entire rental unit,4,1.0,2.0,225.0,2,60,4.93,4.95,4.95,4.95,4.97,4.88,4.82,0,1,1.0,0.0,False,False,1,1,1,1,1,1,1,1,1,1,45,Apartment,1,1
742574,0,5,6,The Port,42.36545,-71.10268,Entire rental unit,3,1.0,2.0,141.0,30,250,4.57,4.81,4.31,4.91,4.88,4.82,4.53,0,2,1.0,0.0,False,False,1,1,1,1,1,1,0,1,1,1,30,Apartment,0,1
