id,last_scraped,description,neighborhood_overview,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,calendar_updated,has_availability,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month
8521,28/09/2025,"An elegant, sun-splashed, 2 bedroom (+2offices) apartment with parking, a 20-minute walk or 7-minute bike ride to Harvard.  Enjoy this spacious 1st floor unit in a stylish 3-level house, with its gorgeous yard and two bluestone patios, on a quiet leafy street in Huron Village Cambridge.  Sleeps 5.","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes all within walking distance of Harvard Square.  You'll also find scrumptious take-out in several local places. (URL HIDDEN)<br />(URL HIDDEN)",306681,01/12/2010,within a few hours,100%,65%,t,West Cambridge,42.38258,-71.13646,Entire rental unit,Entire home/apt,5,1,1 bath,2,2,"[""Single level home"", ""High chair"", ""TV with standard cable"", ""Air conditioning"", ""Paid parking on premises"", ""Host greets you"", ""Dryer"", ""Hangers"", ""Heating"", ""Extra pillows and blankets"", ""Children\u2019s dinnerware"", ""Essentials"", ""Wifi"", ""BBQ grill"", ""Oven"", ""Shared patio or balcony"", ""Beach essentials"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Babysitter recommendations"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Iron"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Outlet covers"", ""Kitchen"", ""Children\u2019s books and toys"", ""Free street parking"", ""Barbecue utensils"", ""Dishwasher"", ""Stove"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Not fully fenced"", ""Shower gel"", ""Washer"", ""Private entrance"", ""Bathtub""]",$270.00,2,1125,,t,80,4.84,4.95,4.97,4.9,4.92,4.94,4.74,C0121120491,f,2,2,0,0.41
11169,28/09/2025,"Large sunny room w kitchenette & bath. Foam mat can be added for 3rd person. Must love rescue dogs; Callie is a gem; likes pets when you come and go. Quality queen mattress, fridge, microwave, good wifi, en-suite marble bath. Quiet, leafy Cambridge neighborhood, moments from city life. Walk, bike or bus to Harvard, Tufts, MIT, Lesley . **Must like kids, adorable ones live above & you will hear their footsteps at times. Covid Vaccination. No lock on room or use of other rooms.","The neighborhood is quiet and friendly and our street is tree-lined, and known as one of the nicest blocks in what is a great neighborhood. It's far enough away from the main street so you won't hear any noise, yet within moments you can be at the subway or in Davis or Porter Squares. there's a sweet playground nearby, a bike trail extending 19 miles, and many parks. A Whole Foods and Trader Joe's are both within a 15 minute walk.",40965,24/09/2009,within a day,100%,77%,t,North Cambridge,42.3963,-71.13135,Private room in condo,Private room,3,1,1 private bath,1,0,"[""Coffee"", ""Host greets you"", ""Hangers"", ""Bathtub"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Dining table"", ""Hot water kettle"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Portable fans"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Paid parking garage off premises"", ""Hair dryer"", ""Refrigerator"", ""Dedicated workspace"", ""EV charger"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Shower gel"", ""Central air conditioning"", ""Heating""]",$126.00,3,14,,t,190,4.8,4.75,4.78,4.91,4.92,4.8,4.77,,f,3,1,2,1.01
19581,28/09/2025,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are subject to 14.45% tax, collected on arrival",,74249,27/01/2010,within an hour,100%,100%,t,The Port,42.36258,-71.09603,Private room in bed and breakfast,Private room,1,1,1 private bath,1,1,"[""TV with standard cable"", ""Paid parking on premises"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Wifi"", ""Mini fridge"", ""Dining table"", ""Shared patio or balcony"", ""Hot water kettle"", ""Building staff"", ""General electric oven"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Clothing storage"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Washer"", ""Heating""]",$183.00,10,730,,t,12,4.55,4.64,4.64,4.64,4.91,4.91,4.27,,t,3,0,3,0.07
27498,28/09/2025,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br />Stays under 90 days are taxed at 14.45 %, collected on arrival",,74249,27/01/2010,within an hour,100%,100%,t,The Port,42.36254,-71.09698,Private room in bed and breakfast,Private room,2,1,1 private bath,1,1,"[""Paid parking lot on premises \u2013 3 spaces"", ""40 inch TV with standard cable"", ""Outdoor dining area"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Wifi"", ""Mini fridge"", ""Oven"", ""Dining table"", ""Hot water kettle"", ""Shared patio or balcony"", ""Clothing storage: closet and dresser"", ""Building staff"", ""Paid washer \u2013 In building"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Rice maker"", ""Kitchen"", ""Self check-in"", ""Toaster"", ""Hammock"", ""Dishwasher"", ""Central heating"", ""Freezer"", ""Stove"", ""Paid dryer \u2013 In building"", ""Lock on bedroom door"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Backyard""]",$238.00,5,730,,t,27,4.77,4.68,4.76,4.64,4.76,4.88,4.64,,t,3,0,3,0.15
79762,28/09/2025,Charming 2-bedroom apartment on the third floor of our beautiful Victorian home.,Annmarie and I have lived in this area for over 50 years. We both live on the first floor of this house and know where people want to go. We can suggest the best restaurants and attractions in the neighborhood.,430015,08/03/2011,within a few hours,100%,89%,t,The Port,42.3695,-71.09921,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Pets allowed"", ""High chair"", ""TV with standard cable"", ""Air conditioning"", ""Hangers"", ""Bathtub"", ""Patio or balcony"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""Oven"", ""Building staff"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Kitchen"", ""Self check-in"", ""Free street parking"", ""Stove"", ""Smoke alarm"", ""Free parking on premises"", ""Heating""]",$300.00,3,365,,t,455,4.88,4.88,4.87,4.96,4.93,4.93,4.77,STR-15661,f,1,1,0,2.59
106474,28/09/2025,"Welcome to Area IV! We are located, conveniently at the foot of MIT, between Central and Kendall Sq, Cambridge.  5 minutes to MIT campus, 15 minutes walk to Harvard, and 15 minutes walk to MGH.  Hosts Patty and Marc will make you feel at home.<br /><br /> Stays under 90 days are taxed at 14.45%, collected on arrival",,74249,27/01/2010,within an hour,100%,100%,t,The Port,42.36274,-71.09768,Private room in bed and breakfast,Private room,3,1,1 private bath,1,1,"[""TV with standard cable"", ""Paid parking on premises"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Extra pillows and blankets"", ""Essentials"", ""Window AC unit"", ""Fire extinguisher"", ""Dining table"", ""Mini fridge"", ""Oven"", ""Shared patio or balcony"", ""Hot water kettle"", ""Clothing storage: closet and dresser"", ""Building staff"", ""Dishes and silverware"", ""Wine glasses"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Ethernet connection"", ""Long term stays allowed"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""Fast wifi \u2013 119 Mbps"", ""Toaster"", ""Private backyard \u2013 Fully fenced"", ""Dishwasher"", ""Stove"", ""Freezer"", ""Smoke alarm"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""Washer"", ""Heating""]",$242.00,5,365,,t,23,4.83,5,4.87,4.91,5,4.87,4.57,ROT-10694669-006,t,3,0,3,0.13
108898,28/09/2025,"An elegant, contemporary, top-floor unit in quiet, green, Huron Village Cambridge, with its boutiques, restaurants, galleries, gourmet grocery,  antique shop, & used bookstore. Walk to Harvard & Porter Sqs, the Charles River, & Fresh Pond.  Ride  the Minuteman Bike Path (a BlueBike station is 2 blocks away).  Enjoy the garden: 2 patios, a double hammock, lounge chairs, a croquet lawn & a bocce court (all with wi-fi). 5/15-8/31 short-term stays; 9/1 -5/15 long-term stays only (3 months or more).","Huron Village is known for its charm.  We have playgrounds, a reservoir, small artisans, a used bookstore, antiques, and two bakery-cafes.  And you'll find  scrumptious take-out, available in several local places.  We're within walking distance of Harvard Square and on 3 bus lines .  (URL HIDDEN)<br />(URL HIDDEN)",306681,01/12/2010,within a few hours,100%,65%,t,West Cambridge,42.38227,-71.13643,Entire condo,Entire home/apt,3,1,1 bath,1,1,"[""Conditioner"", ""Cleaning available during stay"", ""Window guards"", ""Paid parking on premises"", ""Children\u2019s bikes"", ""Outdoor dining area"", ""Host greets you"", ""Hangers"", ""Outdoor furniture"", ""21 inch HDTV with Netflix, standard cable"", ""Bikes"", ""Books and reading material"", ""Extra pillows and blankets"", ""Essentials"", ""Laundromat nearby"", ""Window AC unit"", ""Wifi"", ""Dining table"", ""Mini fridge"", ""Shared patio or balcony"", ""Body soap"", ""Hot water kettle"", ""BBQ grill"", ""Free parking on premises \u2013 1 space"", ""Clothing storage: closet and dresser"", ""Dishes and silverware"", ""Wine glasses"", ""Under-counter small fridge with freezer refrigerator"", ""Microwave"", ""Fire pit"", ""Cooking basics"", ""Portable fans"", ""Carbon monoxide alarm"", ""Free washer \u2013 In building"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Baking sheet"", ""Hair dryer"", ""Iron"", ""Garden view"", ""Long term stays allowed"", ""Coffee maker: french press"", ""Dedicated workspace"", ""Kitchen"", ""Sound system"", ""Toaster"", ""Hammock"", ""Free dryer \u2013 In building"", ""Free street parking"", ""Children\u2019s books and toys for ages 5-10 years old"", ""Microwave-Convection oven oven"", ""Barbecue utensils"", ""Dishwasher"", ""Shared backyard \u2013 Not fully fenced"", ""Central heating"", ""Freezer"", ""Exercise equipment: stationary bike"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shower gel"", ""Thermador electric stove"", ""Private entrance"", ""Bathtub""]",$225.00,2,730,,t,49,4.73,4.77,4.94,4.77,4.88,4.96,4.79,CO121110491,f,2,2,0,0.28
231115,28/09/2025,"Standalone private artist's carriage house loft. Our live/work funky artist's carriage house is located on historic tree lined Bigelow Street smack in the middle of Harvard and MIT! Absolutely central to everything! Redline T is 2 short blocks away. Mass. ave bus and Hubway Bike spot is at the bottom of our street. Easy Ubers, Lyft and taxi's everywhere. And fabulous coffee shops, restaurants, Whole Foods market, pubs, bookstores, music, Harvard, MIT, and HBS within minutes!","Private standalone carriage house artists loft.  Walking distance to Harvard, MIT and HBS. Transportation including Redline T, bus and Hubway bikes steps away! Fantastic Parks, Restaurants, Pubs, Music, Whole Foods, Starbucks & Local Coffee Shops, Bookstores! Uber, Lyft, SAFR, and Taxis in abundance.",81038,14/02/2010,within an hour,100%,95%,t,Mid-Cambridge,42.36771,-71.1058,Entire home,Entire home/apt,4,,1 bath,1,,"[""Pets allowed"", ""TV with standard cable"", ""Air conditioning"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Extra pillows and blankets"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""BBQ grill"", ""Oven"", ""Shared patio or balcony"", ""Paid parking off premises"", ""Keypad"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Refrigerator"", ""Dedicated workspace"", ""Kitchen"", ""Self check-in"", ""EV charger"", ""Stove"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Backyard"", ""Private entrance"", ""Heating""]",,28,120,,t,172,4.88,4.92,4.98,4.97,4.95,4.98,4.75,C0194540491,f,9,9,0,1.01
445407,28/09/2025,Our four bedroom home is tucked away in a wonderful neighborhood in East Cambridge.  Walk to great neighborhood restaurants and enjoy day trips to Boston with easy access to bus and train lines.  Enjoy the backyard and charm of Cambridge.,Neighborhood is tucked away behind MIT and Kendall Square.  East Cambridge still has a strong Portuguese population that is apparent with grape vines surrounding our yard.  Our oldest son goes to school down the street and we love the community and our neighborhood.  ,2212429,24/04/2012,within an hour,100%,100%,t,Wellington-Harrington,42.37147,-71.08939,Entire rental unit,Entire home/apt,7,,2 baths,4,,"[""TV with standard cable"", ""Air conditioning"", ""Outdoor dining area"", ""Dryer"", ""Hangers"", ""First aid kit"", ""Outdoor furniture"", ""Essentials"", ""Wifi"", ""Fire extinguisher"", ""BBQ grill"", ""Body soap"", ""Dishes and silverware"", ""Coffee maker"", ""Microwave"", ""Cooking basics"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shampoo"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Smart lock"", ""Refrigerator"", ""Kitchen"", ""Self check-in"", ""Children\u2019s books and toys"", ""Clothing storage"", ""Room-darkening shades"", ""Smoke alarm"", ""Free parking on premises"", ""Backyard"", ""Washer"", ""Heating""]",,2,28,,t,91,4.94,4.9,4.9,4.97,4.99,4.82,4.78,STR-17249,t,2,2,0,0.56
675441,28/09/2025,,,3423245,30/08/2012,N/A,N/A,N/A,f,East Cambridge,42.37103,-71.07557,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Wifi"", ""Gym"", ""Hot tub"", ""TV with standard cable"", ""Air conditioning"", ""Indoor fireplace"", ""Dryer"", ""Elevator"", ""Kitchen"", ""Free parking on premises"", ""Pool"", ""Essentials"", ""Washer"", ""Shampoo"", ""Heating""]",$188.00,91,365,,t,12,4.64,4.83,4.42,4.75,5,4.75,4.5,,t,1,0,1,0.08
